id,ingredients,nutrition,ingredients_viewmore,saturated,sugar,sodium,energy,Protein
1,null,null,null,null,null,null,null,null
2,"Cashews (97%), Sunflower Oil.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2530kJ  760kJ Protein 19.6g  5.9g Fat, total 47.5g  14.2g – saturated 8.7g  2.6g Carbohydrate 23.9g  7.2g – sugars 5.7g  1.7g Sodium 8mg  <5mg",null,8.7g,5.7g,8mg,2530kJ,19.6g
3,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1850kJ  430kJ Protein 3.2g  0.7g Fat, total 14.1g  3.2g – saturated 9.9g  2.3g Carbohydrate 74.2g  17.1g – sugars 43.1g  9.9g Sodium 220mg  50mg","Choc compound (27%)(sugar, vegetable fat, milk solids, cocoa, emulsifiers [soy lecithin, 476], stabiliser [492]), white rice (25%), glucose, fructose, sugar, invert syrup, vegetable oils (antioxidant [tocopherols]), glucose solids, cocoa  (1.5%), milk solids, humectant (glycerol), salt, gelatin, emulsifiers (soy lecithin, 472e), barley malt extract, natural flavour, antioxidant (rosemary extract). View more",9.9g,43.1g,220mg,1850kJ,3.2g
4,null,null,null,null,null,null,null,null
5,"Sugar, Cocoa Mass, Almonds (15%), Cocoa Butter, Milk Fat, Emulsifier (Soy Lecithin), Fleur De Sel (Sea Salt), Flavouring.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2260kJ  451kJ Protein 8.0g  1.6g Fat, total 35.0g  7.0g – saturated 17.0g  3.4g Carbohydrate 44.0g  8.8g – sugars 42.0g  8.4g Sodium 80mg  16mg",null,17.0g,42.0g,80mg,2260kJ,8.0g
6,"MADE OF: SORBITOL, GUM BASE, HUMECTANT (422), XYLITOL, MANNITOL, FLAVOUR, SWEETENERS (951, 955), COLOUR (133), EMULSIFIER (322, FROM SOY), ANTIOXIDANTS (321,320).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 990kJ  30kJ Protein 0g  0g Fat, total 0g  0g – saturated 0g  0g Carbohydrate 68.9g  1.9g – sugars 0g  0g Sodium <5mg  0mg",null,0g,0g,<5mg,990kJ,0g
7,"Rehydrated Skimmed Milk, Milk Fat, Cheeses (Milk, Salt, Lactic Acid Bacteria, Microbial Rennet), Milk Proteins, Emulsifying Salts (452, 341, 450, 330), Salt, Vitamin D.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1130kJ  181kJ Protein 10g  1.6g Fat, total 23g  3.7g – saturated 15.5g  2.5g Carbohydrate 6.5g  1g – sugars 6.5g  1g Sodium 650mg  104mg",null,15.5g,6.5g,650mg,1130kJ,10g
8,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1760kJ  320kJ Protein 3.6g  0.6g Fat, total 10.2g  1.8g – saturated 4.1g  0.7g Carbohydrate 77.1g  13.9g – sugars 33.8g  6.1g Sodium 350mg  63mg","White Rice (33%), Glucose, Caramel Popcorn (13%)(Sugar, Butter, Popcorn, Glucose, Salt, Emulsifier [Soy Lecithin], Mineral Salt [Sodium Bicarbonate]), Fructose, Sugar, Vegetable Fat (Antioxidant [Tocopherols]), Glucose Solids, Invert Syrup, Humectant (Glycerol), Gelatin, Salt, Emulsifiers (472E, Canola Lecithin, 472A), Barley Malt Extract, Antioxidant (Rosemary Extract), Milk Solids. View more",4.1g,33.8g,350mg,1760kJ,3.6g
9,"Cereals (Corn, Rice), Canola Oil Whey Powder (Milk), Maltodextrin, Cheese Powder (Barley, Milk), Salt, Flavour Enhancer (621), Hydrolysed Vegetable Protein, Yeast Extract, Mineral Salt (Potassium Chloride), Flavours, Natural Colours (Paprika Extract), Food Acid (Lactic Acid).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2090kJ  564kJ Protein 7.0g  1.9g Fat, total 23.5g  6.4g – saturated 2.0g  0.5g Carbohydrate 64.1g  17.3g – sugars 5.4g  1.5g Sodium 842mg  227mg",null,2.0g,5.4g,842mg,2090kJ,7.0g
10,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1810kJ  453kJ Protein 3.6g  0.9g Fat, total 15.8g  4.0g – saturated 11.2g  2.8g Carbohydrate 67.2g  16.8g – sugars 43.4g  10.9g Sodium 114mg  29mg","Compound Chocolate (28%) (Sugar, Vegetable Oil, Cocoa Powder, Milk Solids, Emulsifiers (E322 (from Soy), E492), Flavour, Salt), Wheat Flour, Marshmallow (18%) (Sugar, Glucose (from Wheat), Water, Gelatine, Acidity Regulators (E334, E500), Flavour, Colour (E150a)), Sugar, Jam (9%) (Sugar, Apple Pulp, Plum Pulp, Colour (E122), Food Acid (E334), Gelling Agent (E440), Glucose (from Wheat)), Vegetable Oil, Golden Syrup, Raising Agent (E500), Salt, Emulsifier (E322 (from Soy)), Nutmeg, Flavour. View more",11.2g,43.4g,114mg,1810kJ,3.6g
